PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,한종+삼영,100,931400000,100.4074,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,이산+거원,99.96,922200000,99.404,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,건화+한가람,99.9,930600000,100.286,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,제일+세일,99.8,924900000,99.6484,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,KG+다산+한창+문창,99.79,939490000,101.2203,Y
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,동명+대원+선일,99.71,935800000,100.7992,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,도화+한진,99.6,920330000,99.1097,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,범한+우성,99.27,923330000,99.3399,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,유신+경성,99.22,921579000,99.14,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,삼안+하나+수성,99.08,937640000,100.8324,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,경동+정인+나우,98.61,919534000,98.7701,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,건양+이화+화신,98.59,939659000,100.92,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,선진+평화+대진+청출,98.43,943340000,101.28,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,삼주+한림,98.11,945135000,101.39,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,정+조은,97.65,921144000,98.7015,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,경화+미래,97.44,948280000,101.5501,N
20201000026 - 02,20201005,하수관로 신설(확충)사업(재송처리분구 잔여지 일원)기본 및 실시설계용역 (1순위),부산광역시,PQ,1085000000,1097732500,101.1735023,HEC+HM+서영,97.44,945770000,101.2813,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,한종+삼영,100,684200000,100.4116,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,이산+거원,99.96,677300000,99.3874,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,건화+한가람,99.9,683600000,100.2884,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,제일+세일,99.8,683490000,100.2488,Y
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,KG+다산+한창+문창,99.79,690110000,101.2198,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,동명+대원+선일,99.71,687400000,100.7987,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,도화+한진,99.6,676100000,99.1186,N
20201000026 - 00,20201005,"하수관로 신설(확충)사업(반여, 재송동 일원)기본 및 실시설계용역 (2순위)",부산광역시,PQ,797000000,798167625,100.1465025,범한+우성,99.27,678244000,99.34,N
