PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
2020UMM06392020-09348-01,20200601,20-국-00부대 설계용역(B133),국군재정관리단,PQ,2374741000,2347894346,98.86949128,예성+벽산,100,1836200000,99.1373,Y
2020UMM06392020-09348-01,20200601,20-국-00부대 설계용역(B133),국군재정관리단,PQ,2374741000,2347894346,98.86949128,행림+건화,100,1852179000,100,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,한종+KG,100,2217300000,100.0554,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,경원+건영,99.9,2229400000,100.5112,Y
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,동명+다산+천일,99.89,2217800000,99.9754,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,대콘+선진,99.86,2211100000,99.6606,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,용마+이산+서영,99.8,2231889000,100.5462,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,동성+천마+오이디,99.78,2238988000,100.8401,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,수성+신성,99.74,2203135000,99.2,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,유신+경호+KSM,99.56,2257298000,101.483,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,건화+극동,99.5,2198000000,98.7792,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,동부+장맥,99.47,2249995000,101.0901,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,도화+대성,99.35,2203400000,98.8956,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,삼보+벽산,99.19,2254900000,101.0782,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,동해+KCM+HEC,99.17,2209770000,99.03,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,신명+다음,99.17,2260423000,101.3,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,동일+목양,99.16,2260400000,101.299,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,평화+내경,99.16,2202600000,98.7087,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,태조+삼안+한맥,99.02,2198000000,98.3898,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,경동+서현,98.98,2198797000,98.3879,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,하이콘+케이탑,98.95,2276240000,101.8273,N
20200600975 - 01,20200601,동이-우정간 도로 확포장공사외 5개노선 통합건설사업관리용역,경기도 연천군,PQ,2841300000,2849277000,100.2807518,홍익+테크피아+서광,98.83,2286600000,102.1998,N
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,아라+대영,99,937189000,101.1476,Y
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,유신+주하,96.77,933028000,98.9,N
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,한종+보원,96.26,963100000,101.6685,N
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,건일+혜인,96.06,961320000,101.3168,N
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,서영+해인,95.49,972000000,101.9864,N
20200600643 - 00,20200529,학포지구 연안정비사업 기본 및 실시설계용역,경상북도 울릉군,PQ,1178300000,1166720275,99.01725155,건화+동성,94.9,1116000000,116.548,N
20200600632 - 00,20200529,남양 해양관광 친수공간 조성사업 기본 및 실시설계용역 ,경상북도 울릉군,PQ,568260000,571064425,100.4935109,도화+아라,95.9,495930000,101.003,Y
20200600632 - 00,20200529,남양 해양관광 친수공간 조성사업 기본 및 실시설계용역 ,경상북도 울릉군,PQ,568260000,571064425,100.4935109,삼안+건일,94.53,491366000,99.7273,N
20200600632 - 00,20200529,남양 해양관광 친수공간 조성사업 기본 및 실시설계용역 ,경상북도 울릉군,PQ,568260000,571064425,100.4935109,한종+반석,92.66,490100000,99.0022,N
20200600632 - 00,20200529,남양 해양관광 친수공간 조성사업 기본 및 실시설계용역 ,경상북도 울릉군,PQ,568260000,571064425,100.4935109,건화+동성,91.5,507800000,102.2841,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,이산+장맥,99.4,900200000,100.194,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,한종+세일,99.33,903150000,100.5106,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,삼안+한맥,99.3,903430000,100.5301,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,건화+수성(예당),99.27,902780000,100.446,Y
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,동명+드림,99.26,899670000,100.1,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,유신+천마,99.18,905724000,100.75,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,범한+세종,99.15,896100000,99.6795,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,선진+경동,99.14,907790000,100.9799,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,건양+동양,99.06,896673000,99.72,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,KG+우리,98.93,905799000,100.6996,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,도화+우빈,98.8,910770000,101.2168,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,제일+기산,98.8,892800000,99.2198,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,경화+우주,97.9,913325000,101.2646,N
20200600254 - 00,20200601,농어촌마을하수도 설치사업(웅천 및 대천처리구역) 기본 및 실시설계용역,충청남도 보령시 경제도시국 수도과,PQ,1049170000,1051210700,100.1945061,동일+송현,97.28,920445000,101.9,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,동아+경동+한종+퍼스트,99.19,763279000,100.4499,Y
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,선진+도화+한국환경,99.14,761710000,100.2317,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,동부+KG+한맥+아이케이,98.73,764643000,100.5004,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,다산+건화+삼안+레오,98.71,755636200,99.305,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,신성+홍익+효산,98.64,757760000,99.5725,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,이산+수성+평화+보드플랜,98.35,757188000,99.4047,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,동일+동성+서영+덕영,98.15,771000000,101.1591,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,동명+동진+예평,96.37,777500000,101.4925,N
2001974 - 00,20200601,고양탄현 공공주택지구 조성사업 환경영향평가용역,한국토지주택공사,PQ,886600000,890345000,100.4224002,유신+동해종합+씨엔에스+신일환경,95.6,797940000,103.9321,N
2001972 - 00,20200601,남청주 현도 일반산업단지 사후환경영향조사(공사시) 용역,한국토지주택공사,PQ,1421530000,1430115000,100.6039268,도화+신일,99.24,1151860000,100.6141,Y
