PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20200202404 - 00,20200203,구리시 자연재해저감 종합계획 및 우수유출저감대책 수립 용역,경기도 구리시,PQ,594830500,594985225,100.0260116,KSM+동명,98.82,509617000,99.9059,N
20200202404 - 00,20200203,구리시 자연재해저감 종합계획 및 우수유출저감대책 수립 용역,경기도 구리시,PQ,594830500,594985225,100.0260116,도화+KG,98.79,516660000,101.2748,Y
20200202404 - 00,20200203,구리시 자연재해저감 종합계획 및 우수유출저감대책 수립 용역,경기도 구리시,PQ,594830500,594985225,100.0260116,평화+건화,95.59,508926000,98.9398,N
20200202404 - 00,20200203,구리시 자연재해저감 종합계획 및 우수유출저감대책 수립 용역,경기도 구리시,PQ,594830500,594985225,100.0260116,경호+주하,93.84,530000000,102.5859,N
2020-40035,20200203,2020년 순천완주선 0.315k(순천) 등 73개소 비탈면.옹벽 정밀안전점검 및 성능평가 용역 ,한국도로공사 광주전남본부,PQ,753800000,754844013,100.1385,한국건설안전기술원,100,608850000,100.3426,Y
2020-40035,20200203,2020년 순천완주선 0.315k(순천) 등 73개소 비탈면.옹벽 정밀안전점검 및 성능평가 용역 ,한국도로공사 광주전남본부,PQ,753800000,754844013,100.1385,세안안전진단+건화,90,646800000,103.3861,N
2020-20064 ,20200203,"2020년 강원본부 비탈면·옹벽 정밀안전점검 및 성능평가 용역 2권역(대관령, 강릉, 양양) ",한국도로공사 강원본부,PQ,965966000,965678626,99.97025009,케이에스디,100,785700000,101.0476,Y
2020-20064 ,20200203,"2020년 강원본부 비탈면·옹벽 정밀안전점검 및 성능평가 용역 2권역(대관령, 강릉, 양양) ",한국도로공사 강원본부,PQ,965966000,965678626,99.97025009,세안안전진단+천마+건화,90,829000000,103.4048,N
2020-50042,20200203,2020년 대구포항선 31.96k(포항) 등 75개소 절토비탈면 및 옹벽 정밀안전점검 및 성능평가 용역,한국도로공사 대구경북본부,PQ,966720000,961550466,99.46525012,주식회사 케이에스디,100,786100000,101.0202,Y
2020-50042,20200203,2020년 대구포항선 31.96k(포항) 등 75개소 절토비탈면 및 옹벽 정밀안전점검 및 성능평가 용역,한국도로공사 대구경북본부,PQ,966720000,961550466,99.46525012,세안안전+건화,90,828800000,103.2992,N
익산지방국토관리청 공고 제2020-27호,20200204,영산강상류권역 하천기본계획 전략환경영향평가용역,익산지방국토관리청,PQ,504000000,507843025,100.762505,건화+한기+우신,98.32,424780000,100.8336,Y
익산지방국토관리청 공고 제2020-27호,20200204,영산강상류권역 하천기본계획 전략환경영향평가용역,익산지방국토관리청,PQ,504000000,507843025,100.762505,수성+동부+KG+선진,98,421756000,99.9842,N
익산지방국토관리청 공고 제2020-27호,20200204,영산강상류권역 하천기본계획 전략환경영향평가용역,익산지방국토관리청,PQ,504000000,507843025,100.762505,동성+화신+다산,96.53,421400000,99.2829,N
익산지방국토관리청 공고 제2020-27호,20200204,영산강상류권역 하천기본계획 전략환경영향평가용역,익산지방국토관리청,PQ,504000000,507843025,100.762505,동아+경동,96.35,439080000,103.3747,N
익산지방국토관리청 공고 제2020-27호,20200204,영산강상류권역 하천기본계획 전략환경영향평가용역,익산지방국토관리청,PQ,504000000,507843025,100.762505,신성+극동+서영,95.65,434000000,101.8886,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,유신+대양,98.87,647423000,100.2999,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,항도,98.1,646112000,100.0032,Y
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,도화,97.9,649340000,100.4441,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,건일+천일,97.7,642870000,99.3853,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,세광,97.7,650450000,100.5571,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,세일+수성,97.4,650597000,100.5799,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,한항+삼영,97.8,644523000,99.6408,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,한종,97.61,645100000,99.7068,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,건화(대명+그린블루),97.6,642300000,99.274,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,대영,97.5,644500000,99.5792,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,서영,97.4,642900000,99.3088,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,삼안,97.22,655820000,101.2455,N
20200204140 - 00,20200204,북성포구 준설토투기장 상부시설 조성 기본 및 실시설계용역,해양수산부 인천지방해양수산청,PQ,755000000,753854325,99.84825497,아라,97.17,677160000,104.5278,N
20200202615 - 01,20200204,울산역 복합환승센터 주변 기반시설 정비공사 감독권한대행 등 건설사업관리용역,울산광역시 종합건설본부,PQ,2526000000,2516319125,99.61675079,다산+성지+동명,100,1981180000,100.5597,N
