PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,이산+강동건설,98.62,329720000,100.3059,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,KSM+효광,98.5,329100000,100.1057,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,도화+(주)한종,98.5,330660000,100.5803,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,극동+KD,98.46,328362000,99.8698,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,KG+동진,98.4,331815000,100.92,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,삼안,98.3,331100000,100.6909,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,건화+KCI(테크피아),98.2,0,0,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,다산+선진,98.1,327687000,99.6301,Y
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,동명,98.1,327753000,99.6501,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,한종+주하,98.08,331000000,100.6373,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,용마+평화,97.58,331980000,100.8889,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,동성+테크피아,97.28,332955000,101.1503,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,동부+조화,97.28,331474000,100.7004,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,경호+강호,97.23,325319000,98.8305,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,화신+케이아트,95.17,325529000,98.6901,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,서영+한올,93.77,335000000,101.4334,N
20201200634 - 00,20201201,설마천 외 1개소 호우피해 하천개선복구사업 실시설계 용역 ,경기도 파주시,PQ,378420000,375082375,99.11801041,서광+목양,92.87,326700000,98.8297,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,도화,99.3,2060100000,100.9688,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,동성,99.3,2037477000,99.86,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,동일,99.3,2045800000,100.2679,Y
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,유신,99.3,2050067000,100.477,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,이산,99.3,2048380000,100.3943,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,평화,99.3,2030000000,99.4935,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,한맥,99.3,2046330000,100.2939,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,홍익,99.3,2037680000,99.8699,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,수성,99.24,2054536000,100.6335,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,신성,99.17,2072000000,101.426,N
2005092 - 02,20201201,포항블루밸리 국가산업단지 사후환경영향조사용역(공사시),한국토지주택공사,PQ,2535049000,2536124000,100.0424055,경동,98.6,2400000000,116.916,N
20201200664 - 01,20201201,랜드마크시티 1호 수변공원 조성사업 건설사업관리용역,인천광역시 경제자유구역청,PQ,1394833000,1405639500,100.7747522,유신+한서,99.9,1096499000,100.7,N
20201200664 - 01,20201201,랜드마크시티 1호 수변공원 조성사업 건설사업관리용역,인천광역시 경제자유구역청,PQ,1394833000,1405639500,100.7747522,한종+장원,99.88,1082500000,99.4017,N
