PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,선진+건화,99.84,2004590000,100.6878,Y
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,동명+대원,98.46,2006280000,99.65,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,이산+하이콘,98.3,1999900000,99.2075,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,도화+한종,98.3,2013680000,99.891,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,삼안+수성,98.3,1997160000,99.0715,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,유신+경호+제일,98.3,2044099000,101.4,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,KG+경동,98.22,1989314000,98.62,N
20200400179 - 00,20200401,수원시 하수도정비 기본계획(변경) 수립 용역,경기도 수원시,PQ,2549000000,2558163725,100.3595027,건양+동부+우빈,98.22,2042568000,101.26,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,한종+대원,100,626000000,99.9463,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,도화+한가람,99.78,625400000,99.7921,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,수성+거원,99.73,625410000,99.7821,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,유신+경성,99.71,629438000,100.413,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,신명+GS,99.67,631316000,100.7008,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,건화+대진,99.64,625400000,99.7572,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,대콘+이화,99.57,621444000,99.103,N
20200401048 - 00,20200401,대천천 일원 침수위험지 정비사업 건설사업관리용역,부산광역시 북구,PQ,732600000,735774025,100.4332548,동성+선일,99.52,631156000,100.64,Y
