PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20200500455 - 01,20200501,인제군 자연재해저감 종합계획 재수립 용역,강원도 인제군,PQ,1572700000,1566826000,99.62650219,이산+서광+국일+고려,98.95,1246800000,100.766,N
20200500455 - 01,20200501,인제군 자연재해저감 종합계획 재수립 용역,강원도 인제군,PQ,1572700000,1566826000,99.62650219,한종+삼경+정,98.93,1236160000,99.8934,Y
20200500455 - 01,20200501,인제군 자연재해저감 종합계획 재수립 용역,강원도 인제군,PQ,1572700000,1566826000,99.62650219,도화+동부+진화+동남,98.75,1230720000,99.315,N
20200500455 - 01,20200501,인제군 자연재해저감 종합계획 재수립 용역,강원도 인제군,PQ,1572700000,1566826000,99.62650219,KG+건화+동서+미래,98.67,1233704000,99.48,N
20200500455 - 01,20200501,인제군 자연재해저감 종합계획 재수립 용역,강원도 인제군,PQ,1572700000,1566826000,99.62650219,삼안+화신+일신,98.21,1493800000,120.0116,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,건화+동남+서강,100,1011400000,100.8563,Y
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,수성+삼경+동서,100,1004300000,100.1483,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,경원+고려,99.88,1000280000,99.6452,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,한맥+화신+미래,99.75,999834000,99.4988,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,진화+평화+진화개발,99.68,996690000,99.1225,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,신명+서윤+태백,99.62,997474000,99.1498,N
20200500478 - 00,20200501,서리 재해위험지구 정비사업 외 3개소 통합건설사업관리용역 ,강원도 인제군,PQ,1285740000,1289635850,100.3030045,홍익+청솔+서경,99.52,1023209000,101.6299,N
