PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
B5201904068 - 00 ,20191231,한강하류권(4차) 급수체계조정사업 기본 및 실시설계 용역(제1공구-월롱계통),한국수자원공사,종심제,3408000000,3381382585,99.21897256,삼안+도화+동해,98.855,2811600000,82.5,Y
B5201904068 - 00 ,20191231,한강하류권(4차) 급수체계조정사업 기본 및 실시설계 용역(제1공구-월롱계통),한국수자원공사,종심제,3408000000,3381382585,99.21897256,한종+건화+HEC(금강+태성),95.195,2820000000,82.7465,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,동성+CEM+용마,99.9,836460000,100.2902,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,한종+한백종합,99.82,832320000,99.7821,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,건화+한도,99.8,829000000,99.3725,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,도화+청명,99.75,836380000,100.2454,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,수성+해인,99.69,830090000,99.4799,Y
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,KCM+태조,99.53,830780000,99.5161,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,서영+세원,99.5,843590000,101.0505,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,평화+강산,99.43,833140000,99.7755,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,천일+건일,99.15,826400000,98.899,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,경동+HD,98.85,826697000,98.8538,N
20200100223 - 00,20200106,태암 자연재해위험 개선지구 정비사업 건설사업관리용역,경상북도 경주시,PQ,975200000,969480500,99.41350492,극동+보원,98.83,846652000,101.2399,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,한종+삼안+KG+대성종합,98.52,1566000000,100.7092,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,범한+건화+서영(DS정보기술+지구산업개발),98.14,1555877000,99.7423,Y
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,동명+도화,97.78,1565500000,100.0686,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,이산+하이콘,97.64,1582000000,101.0088,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,건양+동부+수성,97.56,1582543000,100.98,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,선진+제일+청우,97.52,1567940000,100.0231,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,유신+경호,97.46,1547820000,98.6899,N
20200100693 - 00,20200102,"부천시 노후하수관로 정비공사(3,4단계) 실시설계용역 ",경기도 부천시,PQ,1969691000,1961482350,99.58325189,화신+경화+용마,93.74,1818000000,112.5526,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,태조,98.71,670030000,99.8996,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,삼안,97.94,671488000,100,Y
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,KG+경동,97.93,676730000,100.7807,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,도화,97.65,669250000,99.5853,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,대콘,98.34,678777000,100.9676,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,건화(지오텍),96.84,668600000,99.2569,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,신성,96.83,681000000,101.0977,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,다산,95.46,693000000,102.4617,N
E011909588-2,20191226,고흥지역 전기공급시설 전력구공사(고흥-고옥) 설계용역 ,한국전력공사 중부건설본부,PQ,784311000,783876447,99.9445943,한국전력기술,95,681000000,100.5592,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,건화+경화,100,1026400000,96.5136,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,도화+서영,100,1057550000,99.4426,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,한종+동일,100,1057100000,99.4003,Y
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,동명+대원,100,1065560000,100.1958,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,KCM+다음,100,1064390000,100.0858,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,KG+보람,100,1064540000,100.0999,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,경원+세일,100,1065170000,100.1592,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,극동+KCI,100,1060711000,99.7399,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,내경+한도,100,1068177000,100.4419,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,다산+벽산,100,1064756000,100.1202,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,대콘+동우,100,1059555000,99.6312,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,동성+오이디,100,1061550000,99.8188,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,드림+동남,100,1062100000,99.8705,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,수성+토아,100,1057738000,99.4603,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,신명+효산,100,1052500000,98.9678,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,신성+천마,100,1065580000,100.1977,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,이산+유신,100,1063260000,99.9796,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,제일+지유,100,1067700000,100.3971,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,천일+케이탑,100,1067180000,100.3482,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,태조+삼안,100,1066389000,100.2738,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,경동+경호,100,1065184000,100.1605,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,용마+HEC,100,1067165000,100.3467,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,평화+목양,100,1063900000,100.0397,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,한기+선진,100,1062446000,99.903,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,홍익+케이아트,100,1062839000,99.94,N
20200101170 - 00,20200103,학운6산단 진입도로 개설공사 건설사업관리 용역,경기도 김포시,PQ,1363520000,1354960525,99.3722516,한맥+효광,99.87,1200000000,112.7073,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,KSM+신명,100,819900000,99.8962,Y
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,도화+장맥,99.94,821200000,100.0312,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,천일+우빈,99.86,824900000,100.4466,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,한종+경원,99.85,821300000,100.0083,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,동성+동남,99.71,805277000,97.9999,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,건화+동남이엔씨,99.64,820000000,99.7567,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,수성+토아,99.62,820080000,99.7548,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,화신+동명,99.61,828880000,100.8252,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,서영+서광,99.41,829300000,100.7939,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,KG+KCM,99.39,794170000,96.5129,N
원주지방국토관리청공고제2019 - 94호,20191227,양구서천 양구지구 하천정비사업 건설사업관리용역,원주지방국토관리청,PQ,960000000,958776000,99.8725,KCI+평화,99.33,806600000,98.0006,N
