PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,건화+청우+도화(청우종합),100,1739600000,101.106,Y
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,이산+KCI+하이콘,97.68,1735200000,98.9598,N
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,삼안+한도,97.63,1728650000,98.5491,N
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,제일+동성+서영,97.6,1781700000,101.5479,N
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,한종+태성+보람,97.6,1740000000,99.1712,N
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,KG+한백+수성E,97.5,1785170000,101.5796,N
20201033110 - 00,20201102,상주시 하수도정비 기본계획(변경) 및 물 재이용 관리계획(변경) 수립 용역,경상북도 상주시,PQ,2206000000,2206380575,100.0172518,화신+주하,97,2073630000,117.8456,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,건화+영진,100,1528900000,100.6182,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,삼안+청우,100,1520640000,100.0746,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,유신+홍익,100,1521998000,100.164,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,도화+건양,99.84,1509200000,99.1818,Y
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,삼보+서광+경호,99.72,1534500000,100.7542,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,동명+대원,99.67,1532500000,100.5714,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,천일+한맥,99.67,1537400000,100.893,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,신명+태광,99.61,1505323000,98.7501,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,극동+건일,99.54,1509638000,98.9699,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,제일+도명,99.5,1543900000,101.1902,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,경동+수일,99.49,1506470000,98.7244,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,동성+가원,99.47,1544138000,101.18,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,이산+창민,99.44,1507440000,98.7753,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,서영+해림,99.35,1549840000,101.45,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,용마+해린,99.32,1504470000,98.455,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,한종+진우,99.25,1528900000,100.0028,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,범한+도우,99.24,1508700000,98.6689,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,선진+동림,99.19,1556140000,101.7326,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,수성+지명,98.54,1584000000,103.003,N
20201101506 - 00,20201102,동충주산업단지 공공폐수처리시설 외 1개소 통합건설사업관리용역,충청북도 충주시,PQ,1948210000,1925693575,98.84425062,KSM+호영,97.13,1600000000,102.8705,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,삼안+극동,100,2152700000,100.2772,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,건화+유신,99.4,2148800000,99.5975,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,KG+KCI,99.35,2154420000,99.8198,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,도화+이산,99.35,2176100000,100.8242,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,한종+오이디,99.35,2173500000,100.7038,Y
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,경동+용마+동성,99.3,2146730000,99.4254,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,동명+정,99.3,2140800000,99.1508,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,삼보+선진+경호,99.3,2156700000,99.8872,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,제일+㈜한종+동해,99.25,2197800000,101.7518,N
20201101173 - 00,20201102,18년도 시흥시 하수관로정비 임대형 민자사업(BTL) 건설사업관리용역,경기도 시흥시,PQ,2752420000,2769966700,100.6375008,범한+목양,98.82,2500000000,115.3313,N
