PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20200301171 - 00,20200302,울산광역시 수도정비기본계획 수립 용역,울산광역시 상수도사업본부,PQ,2661000000,2622315750,98.54625141,도화+성지+한신+건화,93.3,2238800000,102.2468,Y
20200301171 - 00,20200302,울산광역시 수도정비기본계획 수립 용역,울산광역시 상수도사업본부,PQ,2661000000,2622315750,98.54625141,경호+청목,89.89,2281600000,101.5001,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,한종+수성,99.69,508700000,100.0536,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,삼안+KSM+동서,99.5,507980000,99.8654,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,도화+경화,99.49,512330000,100.7088,Y
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,동성+동명,99.39,507317000,99.7001,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,KG+국성,99.38,505892000,99.42,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,유신+강동,98.96,507035000,99.54,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,다산+서영,98.91,505760000,99.2782,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,화신+현대기술+극동,98.88,506797000,99.4701,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,건화+건일,98.54,521600000,102.2801,N
20200300819 - 00,20200302,양산시 태풍 차바 재해복구사업 분석 평가 용역,경상남도 양산시,PQ,594200000,595609775,100.237256,경호+조화,98.09,504750000,98.8608,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,건화+하우+KCI,99.34,735400000,99.8443,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,이산+신화+화신,99.28,739579000,100.3999,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,도화+경화,99.27,734100000,99.6561,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,KG+천진+주하,99.22,728185000,98.8301,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,한종+수성+하존,99.12,735770000,99.8362,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,동부+한성,99.1,742500000,100.7494,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,다산+HEC,99.06,731450000,99.2385,N
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,삼안+KSM,98.96,738320000,100.1472,Y
20200300804 - 00,20200302,양산시 자연재해저감종합계획 수립 용역,경상남도 양산시,PQ,860000000,859348550,99.92425,경호+극동+우리,98.4,770000000,104.2862,N
20200301284 - 01,20200302,통진배수지 확장 및 상수관로설치사업 건설사업관리용역,경기도 김포시 상하수도사업소,SOQ,2300000000,2265477000,98.499,도화+서영+유신+KG,98.22,1841500000,101.1755,N
20200301284 - 01,20200302,통진배수지 확장 및 상수관로설치사업 건설사업관리용역,경기도 김포시 상하수도사업소,SOQ,2300000000,2265477000,98.499,KCM+선진+동해,95.85,1835747000,98.9586,N
20200301284 - 01,20200302,통진배수지 확장 및 상수관로설치사업 건설사업관리용역,경기도 김포시 상하수도사업소,SOQ,2300000000,2265477000,98.499,삼안+용마,95.64,1833700000,98.677,Y
20200301284 - 01,20200302,통진배수지 확장 및 상수관로설치사업 건설사업관리용역,경기도 김포시 상하수도사업소,SOQ,2300000000,2265477000,98.499,건화+동성,95.42,1904300000,102.2989,N
20200301284 - 01,20200302,통진배수지 확장 및 상수관로설치사업 건설사업관리용역,경기도 김포시 상하수도사업소,SOQ,2300000000,2265477000,98.499,한종+HEC+이산,93.43,1940000000,102.6067,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,도화+KG,100,1440600000,99.7964,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,삼안+청우,100,1446426000,100.2,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,유신+경호,99.95,1454599000,100.7145,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,건화+한맥,99.68,1437940000,99.3446,Y
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,경동+동부,99.68,1438860000,99.4082,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,수성+신성,99.68,1459733000,100.8503,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,신명+다음,99.6,1463634000,101.0552,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,동명+정,99.44,1471955000,101.5,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,서영+KCM+주하,99.43,1500000000,103.4207,N
20200302522 - 00,20200302,능서역세권 도시개발사업 건설사업관리용역,경기도 여주시,PQ,1850810000,1832727650,99.02300344,한종+용마,99.33,1435600000,98.9047,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,도화+건양,100,1078830000,99.7263,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,삼안+청우,100,1080640000,99.8936,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,동명+영진,100,1078330000,99.6801,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,한종+창민,99.9,1083150000,100.0359,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,이산+동림,99.9,1339000000,123.6653,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,KCM+지명,99.82,1089680000,100.5745,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,홍익+건화,99.8,1076550000,99.35,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,서영+좋은,99.75,1089690000,100.524,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,동부+세광,99.54,1096260000,100.9492,Y
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,유신+오성,99.45,1098738000,101.1,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,극동+도우,99.44,1100259000,101.2399,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,용마+해린,99.44,1078198000,99.21,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,동성+가원,99.43,1073880000,98.8,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,천일+한맥E+서윤,99.42,1072800000,98.6881,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,경원+옥토,99.41,1102870000,101.4543,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,수성+대원,99.4,1072850000,98.6801,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,선진+수일,99.34,1072830000,98.6279,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,KSM+한광,99.25,1110287000,102.0064,N
20200302547 - 00,20200302,안민동소하천정비사업외 4개소 통합건설사업관리용역,충청북도 괴산군,PQ,1387000000,1398751375,100.8472513,경호+해림,99.15,1073983000,98.5831,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,건화+홍익,100,1318500000,99.4993,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,삼안+청우,100,1329460000,100.3264,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,도화+건양,100,1321260000,99.7076,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,동명+영진,100,1320900000,99.6804,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,한종+창민,100,1324400000,99.9445,Y
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,KG+유일,99.84,1341070000,101.06,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,KCM+지명,99.82,1320270000,99.4798,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,이산+동림,99.7,1339400000,100.818,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,극동+건일,99.64,1316983000,99.0799,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,천일+한맥+서윤,99.62,1342675000,100.9999,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,경동+도우,99.6,1342780000,100.9949,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,수성+대원,99.6,1342700000,100.9889,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,서영+좋은,99.58,1343700000,101.0512,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,용마+해린,99.54,1345000000,101.1102,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,동성+가원,99.53,1346100000,101.1799,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,경호+해림,99.45,1314850000,98.768,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,유신+오성,99.45,1343952000,100.954,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,동부+세광,99.44,1349623000,101.38,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,선진+수일,99.44,1348950000,101.3295,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,대콘+호영,99.39,1344000000,100.9576,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,신명+태광,99.18,1356820000,101.9206,N
20200302559 - 00,20200302,안민자연재해위험개선지구정비사업 건설사업관리용역,충청북도 괴산군,PQ,1699000000,1696655425,99.86200265,KSM+한광,99.18,1360819000,102.221,N
20200301751 - 00,20200303,구미시 수도정비 기본계획(변경) 수립용역,경상북도 구미시 상하수도사업소,PQ,2900000000,2903639500,100.1255,도화+태성+한주+한종,98.37,2338600000,102.0196,Y
20200301751 - 00,20200303,구미시 수도정비 기본계획(변경) 수립용역,경상북도 구미시 상하수도사업소,PQ,2900000000,2903639500,100.1255,건화+세연,94.63,2342700000,99.1991,N
