PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,도화+아라+신일,99.94,995500000,100.1499,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,다산+세광+레오,99.9,995685000,100.13,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,동명+건일+강호,99.69,1002650000,100.6628,Y
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,유신+KCI+자연과사람,99.64,992422000,99.585,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,동아+한맥+경화+DS,99.62,991700000,99.4999,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,서영+대영+부경,99.49,1007700000,101.0019,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,동성+퍼스트,99.46,1007440000,100.9501,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,천일+수성+선진+대현,99.46,1008437000,101.05,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,홍익+엔탑,99.44,986907000,98.88,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,평화+한백+이에프,99.43,1010100000,101.1908,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,건화+한도+푸른이엔텍,99.4,1011000000,101.2551,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,동일+동진+다원,99.37,1011700000,101.2994,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,신성+보람+우신,99.3,1012000000,101.2777,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,삼안+한성+경동,99.16,1210000000,120.9542,N
20210101694 - 00,20210105,농소~강동간 도로개설 전략 및 환경영향평가용역,울산광역시,PQ,1273800000,1279274200,100.4297535,이산+혜인+동진,99.08,987800000,98.6798,N
20210101466 - 01,20210105,횡성 이모빌리티 복합단지 지구단위계획 수립 용역,강원도 횡성군,PQ,684140000,684264900,100.0182565,화신+동일,100,585380000,100.0811,Y
