PQ공고 NO.,공고일자,사업명,발주처,입찰구분,기초금액,예정금액,예가,업체명,PQ점수,투찰금액,추정예가,낙찰여부
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,도화+영진+동해종합,98.13,634518000,100.2001,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,삼안+청우,97.6,631526000,99.6001,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,한종+창민+정,97.48,641000000,101.059,Y
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,건화+홍익,96.68,629300000,99.0073,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,동명+건양,96.56,634480000,99.7991,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,이산+동림,95.8,629789000,98.8664,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,제일+대원,95.44,650350000,101.9997,N
20200826449 - 00,20200901,청주 오창 제2산업단지 완충저류시설 설치사업 기본 및 실시설계,한국환경공단,PQ,737067000,738554075,100.2017557,선진+선,92.75,647000000,100.7869,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,동명+세원,98.23,649650000,100.0024,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,서영+건일,98.2,649000000,99.8908,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,동성+진성,98.17,650300000,100.0792,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,평화+태성,97.99,648220000,99.7127,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,한종+한도,97.93,654000000,100.5901,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,건화+한백,97.91,655890000,100.8808,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,바우+극동+상금,97.88,647900000,99.6402,Y
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,삼안+주하,97.88,645920000,99.3357,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,다산+경원,97.84,655323000,100.7701,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,유신+해동,97.81,644472000,99.09,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,보람+삼보,97.77,646110000,99.3303,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,한맥+동진,97.69,654130000,100.5516,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,KG+KCI,97.63,655120000,100.6803,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,천일+해인,97.58,644100000,98.9753,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,경동+보원,97.52,642887000,98.7774,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,제일+정도,97.4,657257000,100.9501,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,홍익+강동,97.31,642887000,98.72,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,신성+반석,97.23,661380000,101.548,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,수성+청명,96.78,659428000,101.1308,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,이산+강산,95.96,663900000,101.6045,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,도화+대성,95.34,664140000,101.4767,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,동일+명성,95.32,666000000,101.7609,N
20200900569 - 01,20200901,흥해 초곡리 도시계획도로(소1-3 )실시설계용역,경상북도 포항시 건설교통사업본부,PQ,756400000,752612350,99.49925304,화신+현대기술,93.02,673475000,102.3001,N
E042000434-1,20200831,하동발전본부 태양광 발전사업 기술용역(2020-1),한국남부발전(주) 하동발전본부,PQ,555099600,551743360,99.39538058,한빛디엔에스,100,475726148,100.241,Y
E042000434-1,20200831,하동발전본부 태양광 발전사업 기술용역(2020-1),한국남부발전(주) 하동발전본부,PQ,555099600,551743360,99.39538058,건화,99.8,475870000,100.2713,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,한종+한백종합,100,1690540000,100.1154,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,건화+동진,99.73,1703800000,100.6683,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,동명+상금,99.64,1698900000,100.3018,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,수성+건일,99.55,1686288888,99.4937,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,도화+강산,99.53,1682500000,99.2448,Y
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,삼안+한도,99.4,1683000000,99.173,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,선진+해동,99.3,1716160000,101.0496,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,범한+KCI,99.25,1708500000,100.5601,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,경동+청명,99.23,1677990000,98.7392,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,이산+한주,99.23,1722200000,101.3407,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,동성+태조,99.2,1721948000,101.3,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,경호+주화,99.17,1678780000,98.7353,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,신명+해인,99.14,1728000000,101.6043,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,제일+태성,99.14,1722825000,101.3,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,건양+삼보,99.13,1724865000,101.4199,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,경원+다산,99.13,1710400000,100.5694,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,보원+천일,99.1,1720456800,101.135,N
20200902063 - 00,20200902,군위 공공하수처리시설 증설외 1개사업 통합건설사업관리용역,경상북도 군위군,PQ,2165000000,2147490600,99.19125173,청우+KG,99.05,1696000000,99.6593,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,건화+가온,100,2094000000,100.0966,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,동성+동운,100,2107400000,100.7372,Y
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,도화+현성,99.47,2086000000,99.2814,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,동명+JCN,99.4,2108200000,100.274,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,천일+국성,99.4,2106450000,100.1908,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,KCI+길건축,99.4,2089780000,99.3979,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,KG+인우,99.4,0,0,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,KSM+대도,99.4,2089600000,99.3893,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,다산+새움,99.37,2044900000,97.2384,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,경동+한가람,99.35,2083960000,99.0831,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,한종+더한,99.35,2084400000,99.1041,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,경원+고산,99.34,2106270000,100.1311,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,동부+세화,99.34,2088990000,99.3096,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,경호+유일,99.33,2079390000,98.8532,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,동일+신한,99.32,2082800000,99.0027,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,홍익+대성,99.32,2073275000,98.55,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,삼안+건일,99.3,2130150000,101.2405,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,서영+천마,99.29,2137980000,101.5997,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,이산+유현,99.29,2077121000,98.7076,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,신명+성원,99.27,2128999000,101.16,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,유신+성광,99.27,2104627000,100.002,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,평화+목양,99.27,2140190000,101.6918,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,우빈+금산,99.2,2088812000,99.1873,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,대콘+주영,99.19,2117899000,100.5685,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,하이콘+혜원,99.19,2076440000,98.5998,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,삼보+태평,99.18,2136950000,101.4602,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,화신+동해+태영,99.16,2078658000,98.68,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,극동+조화,99.14,2090143000,99.2,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,용마+아라+범한,99.06,2133857000,101.2103,N
20200901915 - 00,20200902,장수군 동화·명덕천 지방하천 정비사업 통합건설사업관리용역,전라북도 장수군,PQ,2682196000,2688492500,100.2347517,수성+온길+제일,98.99,2145066000,101.6902,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,삼안+JPM,100,1639440000,100.4291,Y
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,동명+청풍,99.73,1632000000,99.7431,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,선진+해진,99.7,1646810000,100.6225,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,이산+해오름,99.54,1627250000,99.3004,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,경동+태신,99.47,1630467000,99.4459,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,건양+서영+DKL,99.45,1652106000,100.74,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,KG+한일,99.44,1632100000,99.5201,N
20200901572 - 00,20200902,대정하수처리장 차집관로 정비사업 등 통합건설사업관리용역,제주특별자치도 상하수도본부,PQ,2093000000,2099116850,100.2922527,동성+토펙,99.43,1659200000,101.1597,N
